Year,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1850,-0.07968225220363494,-0.27541279701715426,-0.3407278807238186,-0.12908660061967822,-0.07999399342579766,0.041941937664095826,-0.06878531777400632,0.02527851827540699,-0.17511031841835117,-0.1727214456539956,0.043404438198387914,-0.027820658081066735
1851,-0.07243577736124257,-0.32888347946088853,-0.16044080070368297,-0.08937365386844516,-0.06466749705968278,0.025651689564377543,-0.21658749405777838,-0.055795124175686404,-0.1657675781858737,-0.046456733237567306,0.030838730911588615,-0.06445564561863035
1852,-0.09709257757253603,-0.14783364886560352,-0.11068625757322698,-0.20172410854602765,-0.08324741652111452,-0.09472514035317395,-0.3494958092642637,-0.04773620364334315,-0.10509568253557253,-0.07431544404001222,-0.036421779707265824,-0.031660735173073884
1853,-0.23123613328323175,-0.21703352981143975,-0.13235193889758498,-0.10027354087958171,-0.08634010737087457,-0.07462150191457753,-0.2392042400910301,-0.01724175525102798,-0.18584226024944836,-0.11202206705311413,-0.06298551930650849,0.08675353280432314
1854,-0.24055238398029583,-0.21456564296884173,0.027343539910028067,-0.15242020954073224,-0.0505897189797588,-0.02448692007048028,-0.10006270892863624,-0.13490697371614135,-0.1557479140930932,-0.09821589929822498,0.011487682245447791,-0.020287354179803502
1855,-0.08102193559976349,-0.19989100071901358,-0.16915899704750956,-0.16363471544660316,-0.07214156992003806,-0.050465008185482704,0.0029665399613933064,-0.06623528748758531,-0.14822143052738218,-0.18201596159593886,-0.03816780240281427,0.016979978476413367
1856,-0.1785271498881669,-0.17918495825870953,-0.09258886473938555,-0.1840112994224983,-0.0817075613465839,0.09653196232857245,0.15873247363898188,0.08608097843474005,-0.1256299041856342,-0.15286622852642004,0.10458248187463333,-0.10120700986742864
1857,-0.18934256806986122,-0.21834840422037186,-0.11553474942574289,-0.1117990755014023,-0.06922214373221872,-0.06011261959594272,-0.2680010346757115,-0.04035321183308766,-0.1204899774971285,-0.1509668623255147,0.1350386499901753,-0.03664312492526432
1858,-0.1412097035449945,-0.22557292219304226,-0.07770541588276321,-0.1275319200587888,-0.06384996463832643,-0.08253446359898954,-0.21976977590523403,-0.11403147678089069,-0.11773224753323969,-0.18058656588195707,0.059863549648132064,-0.09389822292018186
1859,-0.04273903301903677,-0.20923160924091452,-0.002220697229668394,-0.13563670951533177,-0.0729547331168835,0.14873573276027371,-0.06823605283984667,-0.17845849165548694,-0.10004062950092822,-0.14678949630787325,0.02059344868035291,-0.08952956334975559
